age,gender,employment_type,monthly_income_ngn,loan_amount_ngn,loan_term_months,previous_loans,previous_defaults,repayment_history_score,savings_balance_ngn,business_age_months,daily_sales_ngn,debt_to_income_ratio,collateral_available,region,defaulted
22,Male,Casual,455518.85,444100.0,6,2,1,87.17,261429.23,31,0.0,0.1625,Yes,South East,0
55,Male,Salaried,566633.98,826900.0,12,3,0,98.94,884276.18,25,0.0,0.1216,No,South East,1
49,Female,Self-employed,223132.62,54700.0,9,3,0,88.28,178588.06,108,7351.6,0.0272,No,South South,0
39,Male,Salaried,81048.68,20000.0,6,4,1,59.86,49706.62,96,0.0,0.0411,No,North West,0
38,Female,Salaried,569692.51,954500.0,1,2,0,100.0,834529.11,5,0.07,1.6755,No,South West,0
59,Male,Trader,92866.17,104500.0,6,6,0,100.0,107046.54,170,2099.48,0.1875,No,South South,0
22,Male,Salaried,224221.31,70100.0,6,2,0,80.74,178087.38,86,0.0,0.0521,No,South West,0
51,Female,Self-employed,152334.66,20000.0,3,1,0,91.86,201221.34,60,6959.13,0.0438,No,North West,0
27,Female,Trader,136053.8,141900.0,12,1,0,87.45,54453.06,161,3715.43,0.0869,No,North Central,0
22,Male,Salaried,295820.23,64500.0,6,2,0,95.72,66496.99,17,0.0,0.0363,No,South South,0
43,Female,Self-employed,210999.46,419600.0,3,1,0,100.0,111280.71,31,12618.82,0.6629,No,South South,0
64,Male,Trader,251278.99,604400.0,9,3,0,92.37,143627.32,22,11015.69,0.2673,No,North West,0
53,Male,Casual,105928.12,20000.0,6,2,0,90.46,162646.38,8,1.33,0.0315,No,North Central,0
54,Male,Self-employed,160743.21,120200.0,3,1,0,96.74,265004.67,77,5391.84,0.2493,Yes,South East,0
52,Female,Unemployed,109153.93,64300.0,6,2,0,79.13,15241.6,59,0.18,0.0982,Yes,South West,0
55,Male,Casual,158152.59,206700.0,9,5,1,86.02,240538.48,9,0.0,0.1452,Yes,South West,0
42,Male,Trader,166627.6,20000.0,6,3,1,84.55,235711.96,21,6134.97,0.02,Yes,South South,0
24,Female,Self-employed,596902.97,276700.0,3,4,0,94.03,216141.11,105,17344.25,0.1545,No,North West,0
58,Female,Trader,152072.03,216600.0,9,3,1,75.91,126490.33,100,7092.78,0.1583,Yes,North Central,0
39,Female,Casual,45209.98,24400.0,9,0,0,92.03,38420.38,79,0.0,0.06,No,South South,0
42,Female,Self-employed,445753.61,581200.0,1,4,0,92.06,174042.19,60,27150.69,1.3039,Yes,North Central,0
35,Male,Unemployed,241043.02,428000.0,3,1,0,93.6,163996.32,64,2.08,0.5919,No,South South,0
26,Female,Casual,165306.29,88000.0,9,5,1,68.1,52232.11,72,0.0,0.0591,No,South West,1
62,Male,Self-employed,135472.26,130200.0,3,2,1,83.42,131999.81,130,7215.18,0.3204,Yes,North East,0
55,Female,Trader,97266.55,190400.0,12,4,1,83.4,59338.31,27,2084.16,0.1631,Yes,North Central,0
48,Female,Self-employed,634405.36,330200.0,2,1,1,84.9,515267.98,59,27368.62,0.2602,Yes,South West,1
37,Female,Trader,186169.22,480200.0,9,2,0,89.95,161486.3,73,9372.75,0.2866,Yes,South West,0
57,Male,Casual,58172.84,70300.0,12,2,0,96.67,53330.23,80,0.0,0.1007,No,North West,0
44,Male,Salaried,222736.15,360300.0,6,1,0,100.0,78761.28,41,1.5,0.2696,Yes,South East,1
39,Female,Salaried,394243.39,225600.0,6,2,1,79.17,28166.87,31,0.0,0.0954,No,South South,0
39,Male,Self-employed,199265.75,315300.0,2,3,0,82.54,198394.15,20,6823.35,0.7912,No,South West,0
28,Female,Casual,100175.24,31000.0,9,2,0,94.03,55220.51,53,0.12,0.0344,No,North East,0
22,Female,Self-employed,94515.0,160100.0,12,2,0,95.47,14797.22,52,5357.41,0.1412,No,South West,0
44,Female,Casual,99156.51,84200.0,12,1,0,93.62,66410.15,79,0.0,0.0708,Yes,South West,1
60,Male,Self-employed,483975.63,150200.0,6,0,0,88.64,813676.59,28,23039.95,0.0517,No,South West,0
21,Male,Self-employed,171807.59,213700.0,12,5,1,83.39,183792.23,125,5943.03,0.1037,No,North West,1
59,Male,Casual,60448.15,20000.0,12,0,0,99.89,75139.39,1,0.0,0.0276,Yes,North West,0
57,Female,Self-employed,231052.26,330900.0,3,4,0,91.93,333211.06,125,12077.82,0.4774,No,South East,0
31,Female,Self-employed,197281.33,111300.0,12,0,0,100.0,230148.94,126,8309.47,0.047,No,South South,0
48,Male,Salaried,134447.64,201700.0,2,1,0,89.45,104414.44,92,0.0,0.7501,Yes,North Central,0
25,Female,Salaried,92730.04,92600.0,12,2,1,69.84,137441.05,92,0.0,0.0832,No,South East,1
54,Male,Salaried,90145.51,36300.0,12,1,0,92.38,49897.19,9,0.6,0.0336,No,South East,0
51,Male,Self-employed,364770.66,447000.0,6,2,1,71.44,171369.56,116,23647.12,0.2042,No,South West,0
35,Female,Trader,211418.63,419600.0,6,5,2,76.4,101208.02,12,7470.98,0.3308,No,South West,0
21,Male,Self-employed,245691.14,407200.0,12,4,2,57.46,153810.72,132,6917.67,0.1381,No,South South,0
64,Male,Salaried,211040.5,159900.0,1,2,0,98.81,281235.31,87,0.81,0.7577,No,South East,0
39,Female,Salaried,222728.72,178100.0,6,2,0,82.04,50796.28,43,0.0,0.1333,Yes,South South,0
60,Male,Self-employed,132754.34,20000.0,6,2,0,99.36,121282.12,133,7027.01,0.0251,No,North Central,0
50,Male,Unemployed,157459.42,206900.0,6,1,0,95.08,163851.06,43,0.0,0.219,No,South South,0
55,Female,Self-employed,383810.72,194900.0,2,1,0,100.0,608355.56,133,17289.45,0.2539,No,North West,0
54,Male,Salaried,451439.09,599500.0,3,4,0,92.81,308633.77,49,1.36,0.4427,No,South West,1
27,Female,Trader,81336.68,99300.0,12,1,0,96.39,68147.95,134,4649.84,0.1017,No,South South,0
35,Male,Casual,157210.96,170200.0,12,4,0,98.44,186375.84,39,2.63,0.0902,No,North Central,0
40,Male,Casual,310595.78,24500.0,12,4,0,79.76,100356.89,23,0.92,0.02,No,North Central,0
41,Male,Casual,611740.81,57700.0,6,0,0,100.0,441914.19,60,0.36,0.02,Yes,South South,1
20,Female,Unemployed,573197.64,868000.0,9,0,0,93.1,58674.99,14,0.0,0.1683,No,South West,0
44,Male,Trader,107309.19,71100.0,6,1,0,85.1,5686.82,82,2938.31,0.1104,Yes,South West,0
25,Female,Unemployed,412294.06,734100.0,9,0,0,93.47,309393.87,73,0.0,0.1978,No,North Central,1
53,Female,Salaried,186992.86,212700.0,12,0,0,100.0,261162.85,12,0.0,0.0948,No,South West,0
50,Female,Casual,354897.02,280100.0,3,4,1,76.17,242580.1,22,1.35,0.2631,No,South South,0
62,Male,Casual,300467.02,342200.0,12,1,0,94.73,289242.38,26,1.45,0.0949,No,North East,0
53,Female,Casual,79152.8,122100.0,12,1,0,79.99,65503.66,75,0.0,0.1285,No,South West,1
35,Female,Self-employed,257350.75,135200.0,6,3,0,88.01,195397.54,8,14959.58,0.0876,No,South South,0
64,Male,Casual,346076.43,414800.0,12,3,0,98.95,366883.76,88,0.0,0.0999,No,North Central,0
37,Female,Salaried,177657.21,181800.0,12,6,0,100.0,287245.46,51,0.0,0.0853,No,South West,0
33,Female,Trader,153369.67,20000.0,1,3,0,95.48,147073.0,164,9577.31,0.1304,Yes,South West,0
61,Female,Self-employed,64804.52,20000.0,1,2,0,98.09,93989.68,161,3205.12,0.3086,No,South East,0
35,Female,Trader,280706.11,223900.0,9,1,1,76.14,169208.63,14,12222.58,0.0886,No,South South,0
21,Male,Trader,206158.09,233800.0,12,1,0,94.14,105122.23,86,5504.68,0.0945,No,South East,0
40,Female,Self-employed,98843.45,49200.0,3,0,0,86.58,17874.17,55,5979.35,0.1659,No,North Central,0
56,Female,Salaried,145643.35,273500.0,6,3,0,90.56,147564.83,56,0.85,0.313,Yes,North Central,0
27,Male,Self-employed,199015.75,274000.0,6,2,0,93.8,251881.55,74,5420.96,0.2295,No,North West,0
40,Male,Trader,125191.38,69100.0,6,1,0,83.06,136124.55,6,5318.94,0.092,No,South South,0
24,Male,Trader,180313.5,20000.0,1,5,0,100.0,262011.24,64,4109.94,0.1109,No,South East,0
50,Male,Trader,57714.05,20000.0,3,0,0,89.07,22969.1,105,1415.41,0.1155,No,North Central,0
40,Male,Salaried,432715.71,240800.0,12,2,0,95.47,496457.2,45,0.19,0.0464,Yes,South West,0
